"lambda","n_eff","min_w","max_w","imbalance","imbalance_order1","imbalance_order2","pct_improvement","deff","selected"
2.74198018326622e-05,604.218519679134,0.01,31.0304662564312,0.00020657574386038,1.10123944862583e-08,0.000206575743566849,99.9996873375802,5.17693499640015,FALSE
1.51933679399613e-05,604.087888040418,0.01,31.0364268781687,0.000206552954279281,1.01570120033671e-08,0.000206552954029551,99.9998718686565,5.17805448830769,FALSE
8.41867606366398e-06,604.014968696999,0.01,31.0397012571864,0.000206544944156232,4.3408038026916e-08,0.000206544939594857,99.9999367279718,5.17867960581809,FALSE
4.66480552205264e-06,603.977510984345,0.01,31.0414324227244,0.00020654237278984,1.07604682119446e-08,0.00020654237250954,99.9999575487586,5.17900077918808,FALSE
2.58477822332342e-06,603.951262135037,0.01,31.0425059169968,0.000206540671992067,1.03993068716435e-08,0.000206540671730265,99.9999713204046,5.17922586823009,FALSE
1.43223086840009e-06,603.93257462431,0.01,31.0431844827558,0.000206539555746125,7.81043093880774e-09,0.000206539555598447,99.999980358836,5.17938612923114,FALSE
7.93602035907204e-07,603.919016624393,0.01,31.0436261673568,0.000206538789328989,7.14882550114217e-09,0.00020653878920527,99.9999865646446,5.17950240660406,FALSE
4.39736501489874e-07,603.908985428555,0.01,31.0439217722508,0.000206538264593556,5.42947511847468e-09,0.000206538264522191,99.9999908135157,5.17958844043405,FALSE
2.43658889460265e-07,603.901444232627,0.01,31.0441262196359,0.000206537898367868,4.48085809126523e-09,0.000206537898319262,99.9999937789068,5.17965312034437,FALSE
1.35011886008686e-07,603.895705012722,0.01,31.0442717411514,0.000206537643290874,4.15556952433941e-09,0.000206537643249069,99.9999958443082,5.1797023460104,FALSE
7.48103605167051e-08,603.891288423765,0.01,31.0443778383269,0.000206537463816919,2.83485078645497e-09,0.000206537463797464,99.999997297539,5.17974022802099,FALSE
4.14525728518404e-08,603.88786728756,0.01,31.0444571125485,0.000206537336410706,2.09781971131021e-09,0.000206537336400052,99.9999983291686,5.1797695722052,FALSE
2.29689548903247e-08,603.885201674923,0.01,31.0445176209518,0.000206537244950175,1.61633310777108e-09,0.00020653724494385,99.9999990697399,5.17979243625154,FALSE
1.2727144600636e-08,603.883112832921,0.01,31.0445648515265,0.000206537178693018,1.26026268241356e-09,0.000206537178689173,99.9999996062353,5.17981035324205,FALSE
7.05213669750945e-09,603.881473511861,0.01,31.0446017619412,0.00020653713006309,9.80216196516848e-10,0.000206537130060764,100,5.17982441456463,FALSE
