"sex","age","edu","arear","ethnicity","party_kmt","party_dpp","party_tpp","n","n_wt","n_sources","prop","prop_wt","cell"
"男性","60歲及以上","大學及以上","北北基宜蘭區","本省閩南人","00","09","00",3,1.62135909067625,2,0.000535714285714286,0.000290847641555319,"男性 | 60歲及以上 | 大學及以上 | 北北基宜蘭區 | 本省閩南人 | 00 | 09 | 00"
"男性","60歲及以上","大學及以上","北北基宜蘭區","本省閩南人","03","09","01",3,1.59357965133812,2,0.000535714285714286,0.000285864424412562,"男性 | 60歲及以上 | 大學及以上 | 北北基宜蘭區 | 本省閩南人 | 03 | 09 | 01"
"男性","60歲及以上","專科","北北基宜蘭區","本省閩南人","05","05","05",3,2.5775695810283,2,0.000535714285714286,0.000462377543566941,"男性 | 60歲及以上 | 專科 | 北北基宜蘭區 | 本省閩南人 | 05 | 05 | 05"
"男性","60歲及以上","專科","高屏區","本省閩南人","00","10","00",3,1.898854339,2,0.000535714285714286,0.00034062615082072,"男性 | 60歲及以上 | 專科 | 高屏區 | 本省閩南人 | 00 | 10 | 00"
"男性","60歲及以上","小學及以下","北北基宜蘭區","本省閩南人","05","05","05",3,2.981459018,2,0.000535714285714286,0.000534829285360505,"男性 | 60歲及以上 | 小學及以下 | 北北基宜蘭區 | 本省閩南人 | 05 | 05 | 05"
"男性","60歲及以上","小學及以下","桃竹苗區","本省客家人","05","05","05",3,2.52938500508174,3,0.000535714285714286,0.000453733949218229,"男性 | 60歲及以上 | 小學及以下 | 桃竹苗區 | 本省客家人 | 05 | 05 | 05"
"男性","60歲及以上","小學及以下","雲嘉南區","本省閩南人","05","05","05",3,2.0819778882698,2,0.000535714285714286,0.000373475784640052,"男性 | 60歲及以上 | 小學及以下 | 雲嘉南區 | 本省閩南人 | 05 | 05 | 05"
"男性","60歲及以上","高中、職","北北基宜蘭區","本省閩南人","05","05","05",3,2.55494590236653,2,0.000535714285714286,0.000458319193001714,"男性 | 60歲及以上 | 高中、職 | 北北基宜蘭區 | 本省閩南人 | 05 | 05 | 05"
"男性","60歲及以上","高中、職","雲嘉南區","本省閩南人","05","10","00",3,2.0114627,2,0.000535714285714286,0.000360826411456752,"男性 | 60歲及以上 | 高中、職 | 雲嘉南區 | 本省閩南人 | 05 | 10 | 00"
"男性","60歲及以上","高中、職","高屏區","本省閩南人","05","05","05",3,2.65411110994206,2,0.000535714285714286,0.000476107952391009,"男性 | 60歲及以上 | 高中、職 | 高屏區 | 本省閩南人 | 05 | 05 | 05"
"女性","20至29歲","大學及以上","中彰投區","本省閩南人","03","06","07",2,2.388124871,2,0.000357142857142857,0.000428393987774941,"女性 | 20至29歲 | 大學及以上 | 中彰投區 | 本省閩南人 | 03 | 06 | 07"
"女性","20至29歲","大學及以上","中彰投區","本省閩南人","07","06","07",2,2.388124871,2,0.000357142857142857,0.000428393987774941,"女性 | 20至29歲 | 大學及以上 | 中彰投區 | 本省閩南人 | 07 | 06 | 07"
