"sex","age","edu","arear","ethnicity","party_kmt","party_dpp","party_tpp","n","n_wt","prop","prop_wt","cell"
"女性","30至39歲","大學及以上","北北基宜蘭區","本省閩南人","03","03","03",2,2.45186665572996,0.000755001887504719,0.000929044211091069,"女性 | 30至39歲 | 大學及以上 | 北北基宜蘭區 | 本省閩南人 | 03 | 03 | 03"
"女性","30至39歲","大學及以上","北北基宜蘭區","本省閩南人","03","05","04",2,2.45186665572996,0.000755001887504719,0.000929044211091069,"女性 | 30至39歲 | 大學及以上 | 北北基宜蘭區 | 本省閩南人 | 03 | 05 | 04"
"女性","30至39歲","大學及以上","桃竹苗區","本省閩南人","05","05","05",2,2.3083180059167,0.000755001887504719,0.000874651757974878,"女性 | 30至39歲 | 大學及以上 | 桃竹苗區 | 本省閩南人 | 05 | 05 | 05"
"女性","30至39歲","專科","北北基宜蘭區","本省閩南人","05","05","05",2,2.65365365654707,0.000755001887504719,0.00100550393394935,"女性 | 30至39歲 | 專科 | 北北基宜蘭區 | 本省閩南人 | 05 | 05 | 05"
"女性","30至39歲","高中、職","北北基宜蘭區","本省閩南人","05","05","05",2,3.41278465069097,0.000755001887504719,0.00129314855521005,"女性 | 30至39歲 | 高中、職 | 北北基宜蘭區 | 本省閩南人 | 05 | 05 | 05"
"女性","40至49歲","大學及以上","中彰投區","本省閩南人","04","07","02",2,1.86968966519048,0.000755001887504719,0.000708449766598288,"女性 | 40至49歲 | 大學及以上 | 中彰投區 | 本省閩南人 | 04 | 07 | 02"
"女性","40至49歲","大學及以上","北北基宜蘭區","本省閩南人","00","07","00",2,1.82595591188503,0.000755001887504719,0.00069187847784457,"女性 | 40至49歲 | 大學及以上 | 北北基宜蘭區 | 本省閩南人 | 00 | 07 | 00"
"女性","40至49歲","大學及以上","北北基宜蘭區","本省閩南人","03","06","02",2,1.82595591188503,0.000755001887504719,0.00069187847784457,"女性 | 40至49歲 | 大學及以上 | 北北基宜蘭區 | 本省閩南人 | 03 | 06 | 02"
"女性","40至49歲","大學及以上","北北基宜蘭區","本省閩南人","04","08","04",2,1.82595591188503,0.000755001887504719,0.00069187847784457,"女性 | 40至49歲 | 大學及以上 | 北北基宜蘭區 | 本省閩南人 | 04 | 08 | 04"
"女性","40至49歲","大學及以上","北北基宜蘭區","本省閩南人","05","05","03",2,1.82595591188503,0.000755001887504719,0.00069187847784457,"女性 | 40至49歲 | 大學及以上 | 北北基宜蘭區 | 本省閩南人 | 05 | 05 | 03"
